"Id";"Data transakcji / wyceny";"Województwo";"Powiat";"Gmina";"Miejscowość";"Dzielnica";"Obręb geodezyjny";"Arkusz mapy";"Ulica";"Nr domu";"Nr lokalu";"Powierzchnia użytkowa (m2)";"Cena";"Cena m2 p.u.";"Cena z uwzględnieniem miejsca postojowego";"Cena m2 p.u. z uwzględnieniem miejsca postojowego";"Kondygnacja lokalu";"Liczba kondygnacji";"Liczba izb";"Rok budowy";"Rodzaj budynku";"Stan prawny lokalu";"Stan prawny gruntu";"Źródło informacji";"Opis";"Konstrukcja budynku";"Cena brutto";"Cena brutto m2 p.u.";"Cena brutto z uwzględnieniem miejsca postojowego";"Cena brutto m2 p.u. z uwzględnieniem miejsca postojowego";"Nr KW";"Sąd wieczystoksięgowy";"Nr aktu notarialnego";"Źródło danych do wpisu";"Sprzedający";"Kupujący";"Pomieszczenia przynależne - ilość";"Pomieszczenie przynależne - opis";"Cena p. przynależnego zawarta w cenie transakcyjnej";"Pomieszczenia przynależne - Cena za sztukę";"Liczba miejsc postojowych";"Rodzaj miejsca postojowego";"Cena m. postojowego zawarta w cenie transakcyjnej";"M. postojowe - Cena za sztukę";"Pomieszczenia inne przynależne";"Pozostałe obiekty";"Funkcjonalność lokalu";"Standard lokalu";"Powierzchnia użytkowa budynku";"Standard techniczny budynku";"Modernizowany w ostatnich 5 latach";"Ekspozycja lokalu";"Winda";"Kod pocztowy";"Osiedle";"Strefa miasta";"Otoczenie";"Dostępność komunikacyjna";"Źródło ceny";"Cena (waluta)";"Waluta";"Kurs waluty z dn. transakcji";"Stan prawny budynku";"Dział III KW lokalu";"Dział III KW gruntu";"Wartość rynkowa";"Wartość odtworzeniowa";"Stawka VAT";"M. postojowe - Stawka VAT";"Data utworzenia";"Data modyfikacji";"Wpisana przez";"Modyfikowana przez";"Świadectwo charakterystyki energetycznej";"Nr św. ch. energetycznej";"Wskaźnik zapotrzebowania na energię pierwotną (EP)";"Wskaźnik zapotrzebowania na energię pierwotną (EK)";"Numer działki";"Pole powierzchni gruntu";"Udział"
"";"2017-08-30";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"137 ";"6";"47.04";"320000.00";"6802.72";"";"";"";"";"2";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"1piętro, 2 pokoje w tym jeden połączony z kuchnią i przedpokojem,łazienka.LokaIzostał sprzedany wraz z miejscem postojowym i zapleczem postojowym wycenionymiosobno.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 1/4,1/5;księga gruntowa: WR1K/00091042/0";"";"320000.00";"6802.72";"";"";"WR1K/00309241/7";"Sąd Rejonowy dla Wrocławia - Krzyków";"4438/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1/4,1/5";"8793";"49/10000
"
"";"2017-03-15";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Gaj (13)";"3";"AL. ARMII KRAJOWEJ ";"2 ";"24";"43.7";"278000.00";"6361.56";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Umowa ostateczna sprzedaży rynek wtórny";"6 piętro, 2 pokoje, kuchnia, łazienka, przedpokój;Obręb: 0013 - Gaj, Ark.: 3, Nr dz.: 5/13;księga gruntowa: WR1K/00116577/1";"";"278000.00";"6361.56";"";"";"WR1K/00179403/0";"Sąd Rejonowy dla Wrocławia - Krzyków";"450/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50-541";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5/13";"3022";"143/10000
"
"";"2017-06-05";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Grabiszyn (28)";"26";"AL. GEN. JÓZEFA HALLERA ";"115 ";"4";"65.35";"130442.00";"1996.05";"";"";"";"";"3";"";"";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"cena za udz.3792/10000 cz. w lokalu;parter, 2 pokoje, kuchnia, łazienka, przedpokój;Obręb: 0028 - Grabiszyn, Ark.: 26, Nr dz.: 143/5;księga gruntowa: WR1K/00062661/3";"";"130442.00";"1996.05";"";"";"WR1K/00099391/7";"Sąd Rejonowy dla Wrocławia - Krzyków";"3900/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-201";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"143/5";"335";"3139776/100000000
"
"";"2017-04-24";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Grabiszyn (28)";"26";"AL. GEN. JÓZEFA HALLERA ";"115 ";"9";"50.82";"340000.00";"6690.28";"";"";"";"";"3";"";"";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"brak if. czy netto czy brutto;II piętro, dwa pokoje, kuchnia, łazienka, wc, przedpokój;Obręb: 0028 - Grabiszyn, Ark.: 26, Nr dz.: 143/5;księga gruntowa: WR1K/00062661/3";"";"340000.00";"6690.28";"";"";"WR1K/00062996/0";"Sąd Rejonowy dla Wrocławia - Krzyków";"35292/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-201";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"143/5";"335";"700/10000
"
"";"2017-03-31";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Grabiszyn (28)";"28";"AL. GEN. JÓZEFA HALLERA ";"144 ";"8";"14.99";"70000.00";"4669.78";"";"";"";"";"1";"";"wielorodzinne";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Umowa ostateczna sprzedaży rynek wtórny";"brak informacji w akcie notarialnym cena brutto czy netto;II piętro, 1 pokój, przedpokój z aneksem kuchennym, łazienka,;Obręb: 0028 - Grabiszyn, Ark.: 28, Nr dz.: 1/9;księga gruntowa: WR1K/00072109/9";"";"70000.00";"4669.78";"";"";"WR1K/00321639/4";"Sąd Rejonowy dla Wrocławia - Krzyków";"789/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-203";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1/9";"175";"377/10000
"
"";"2017-04-25";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Grabiszyn (28)";"24;30";"AL. GEN. JÓZEFA HALLERA ";"188 ";"38";"67.4";"500000.00";"7418.40";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Umowa ostateczna sprzedaży rynek wtórny";"brak informacji w akcie notarialnym cena brutto czy netto;II piętro, 2 pokoje, pokój z aneksem kuchennym, łazienka, wc, przedpokój,;Obręb: 0028 - Grabiszyn, Ark.: 24;30, Nr dz.: 2/23,3/8,2/22,2/28,37/;4/6,4/7;księga gruntowa: WR1K/00096795/8";"";"500000.00";"7418.40";"";"";"WR1K/00266268/8";"Sąd Rejonowy dla Wrocławia - Krzyków";"2494/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-203";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/23,3/8,2/22,2/28,37/;4/6,4/7";"9446";"7040/1701450
"
"";"2017-08-10";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Borek (11)";"1";"AL. GEN. JÓZEFA HALLERA ";"18b ";"4";"79.08";"310000.00";"3920.08";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"2 pokoje, kuchnia,łazienka,przedpokój, spiżarka;Obręb: 0011 - Borek, Ark.: 1, Nr dz.: 54/1;księga gruntowa: WR1K/00071708/1";"";"310000.00";"3920.08";"";"";"WR1K/00172077/6";"Sąd Rejonowy dla Wrocławia - Krzyków";"86200/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-318";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"54/1";"257";"919/10000
"
"";"2017-03-15";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Grabiszyn (28)";"24";"AL. GEN. JÓZEFA HALLERA ";"192 ";"4";"63.5";"407500.00";"6417.32";"";"";"";"";"2";"";"wielorodzinne";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Umowa ostateczna sprzedaży rynek wtórny";"brak informacji w akcie notarialnym cena brutto czy netto;PARTER, POKÓJ„ POKÓJ Z ANEKSEM KUCHENNYM, ŁAZIENKA,WC,PRZEDPOKOJ,;Obręb: 0028 - Grabiszyn, Ark.: 24, Nr dz.: 2/30;księga gruntowa: WR1K/00093909/0";"";"407500.00";"6417.32";"";"";"WR1K/00302805/0";"Sąd Rejonowy dla Wrocławia - Krzyków";"4984/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-203";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/30";"3378";"635/87652
"
"";"2017-07-27";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Borek (11)";"1";"AL. GEN. JÓZEFA HALLERA ";"22 ";"14";"51.27";"280000.00";"5461.28";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"4 piętro, 2 pokoje, kuchnia,łazienka,przedpokój, piwnica o pow.4.09m2;Obręb: 0011 - Borek, Ark.: 1, Nr dz.: 52/9;księga gruntowa: WR1K/00121840/4";"";"280000.00";"5461.28";"";"";"WR1K/00125736/0";"Sąd Rejonowy dla Wrocławia - Krzyków";"7232/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-318";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52/9";"2463";"162/10000
"
"";"2017-08-10";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Południe (22)";"33";"AL. GEN. JÓZEFA HALLERA ";"23 ";"9";"34.6";"230000.00";"6647.40";"";"";"";"";"2";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"2 piętro, pokój, kuchnia, łazienka, wc, przedpokój oraz piwnica o pow. 6.30m2;Obręb: 0022 - Południe, Ark.: 33, Nr dz.: 58/5;księga gruntowa: WR1K/00046871/0";"";"230000.00";"6647.40";"";"";"WR1K/00119363/9";"Sąd Rejonowy dla Wrocławia - Krzyków";"48448/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-319";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"58/5";"2070";"201/10000
"
