wroclaw	50-044	ul. marsz. jozefa pilsudskiego	15	33	0	0	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-045	pl. legionow	9	13	10	14	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-046	ul. sadowa	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-046	ul. swiebodzka	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-047	pl. legionow	1	7	2	8	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-047	pl. legionow	15	32765	16	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-048	ul. marsz. jozefa pilsudskiego	1	13	0	0	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-049	ul. marsz. jozefa pilsudskiego	0	0	2	12	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-051	pl. teatralny	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-051	ul. bozego ciala	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-052	ul. widok	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-053	ul. szewska	1	7	2	6	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-054	ul. szewska	79	32765	78	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-055	ul. teatralna	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-056	pl. sw. krzysztofa	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-056	ul. wierzbowa	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-057	ul. mennicza	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-059	ul. ofiar oswiecimskich	25	32765	22	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-060	pl. solny	1	5	2	4	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-061	pl. solny	7	13	6	12	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-062	pl. solny	15	15	14	16	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-063	pl. solny	17	32765	18	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-064	ul. swidnicka	1	9	0	0	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-066	ul. swidnicka	11	35	0	0	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-067	ul. swidnicka	0	0	2	8	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-068	ul. swidnicka	0	0	10	38	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-069	ul. ofiar oswiecimskich	1	23	2	20	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-070	pl. franciszkanski	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-070	ul. sw. doroty	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-070	ul. franciszkanska	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-071	pl. wolnosci	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-071	ul. heleny modrzejewskiej	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-071	ul. stanislawa drabika	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-072	ul. pawla wlodkowica	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-073	ul. sw. antoniego	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-074	pl. bohaterow getta	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-075	ul. krupnicza	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-076	ul. eugeniusza gepperta	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-076	ul. karola szajnochy	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-077	ul. kazimierza wielkiego	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-078	ul. stanislawa leszczynskiego	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-079	pl. jana pawla ii	7	7	0	0	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-079	ul. ruska	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-079	ul. grabarska	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-080	ul. psie budy	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
wroclaw	50-082	ul. ks. piotra skargi	1	32765	2	32764	dolnoslaskie	wroclaw	wroclaw	stare miasto
